# Date: 2017-08-04
# genetable Version: 1.0.0.1
# Notes:This file includes starting and ending ranges for feature = "gene" in the gtf file.
#
# Data Dictionary:
#   variables type description
#   chr character chromosome in genome build GRCh37/hg19
#   strand character DNA strand. values {+,-}
#   gene_id character gene identifier with ENSG prefix
#   gene_name character Gene name
#   agg_start integer 5' start position of the feature in genome build GRCh37/hg19
#   agg_end integer 3' end position of the gene in genome build GRCh37/hg19
#   source comma seprated list annotation sources of transcripts in an aggregation unit
#   type character biotype of the feature
#   merge_count integer number of features joined in aggregation unit
#   agg_size integer length of aggregation unit

chr	strand	gene_id	gene_name	agg_start	agg_end	source	transcript_type	merge_count	agg_size
chr22	+	ENSG00000233866.1	LA16c-4G1.3	16062157	16063236	HAVANA	lincRNA	1	1079
chr22	-	ENSG00000229286.1	LA16c-4G1.4	16076052	16076172	HAVANA	pseudogene	1	120
chr22	-	ENSG00000235265.1	LA16c-4G1.5	16084249	16084826	HAVANA	pseudogene	1	577
chr22	-	ENSG00000223875.1	NBEAP3	16100517	16124973	HAVANA	pseudogene	1	24456
chr22	+	ENSG00000215270.3	LA16c-60H5.7	16122720	16123768	HAVANA	pseudogene	1	1048
chr22	-	ENSG00000206195.6	AP000525.9	16147979	16193004	HAVANA	processed_transcript	1	45025
chr22	-	ENSG00000271672.1	DUXAP8	16150776	16151397	HAVANA	pseudogene	1	621
chr22	-	ENSG00000272872.1	LL22NC03-N14H11.1	16154073	16154766	HAVANA	sense_intronic	1	693
chr22	+	ENSG00000232775.2	AP000525.10	16157079	16172700	HAVANA	pseudogene	1	15621
chr22	-	ENSG00000271127.1	LL22NC03-N64E9.1	16179617	16181004	HAVANA	sense_intronic	1	1387
chr22	-	ENSG00000225255.2	LA16c-83F12.6	16199666	16231333	HAVANA	lincRNA	1	31667
chr22	+	ENSG00000235992.1	GRAMD4P2	16227138	16228807	HAVANA	pseudogene	1	1669
chr22	-	ENSG00000241838.2	LA16c-3G11.7	16255355	16256477	HAVANA	pseudogene	1	1122
chr22	-	ENSG00000198062.10	POTEH	16256441	16287937	HAVANA	protein_coding	1	31496
chr22	+	ENSG00000236666.1	POTEH-AS1	16274560	16278602	HAVANA	antisense	1	4042
chr22	-	ENSG00000212216.1	RNU6-816P	16276398	16276504	ENSEMBL	snRNA	1	106
chr22	+	ENSG00000234381.1	MED15P7	16333633	16342783	HAVANA	pseudogene	1	9150
chr22	+	ENSG00000224435.2	NF1P6	16345912	16355362	HAVANA	pseudogene	1	9450
chr22	+	ENSG00000226474.1	LA16c-2F2.5	16362385	16362561	HAVANA	pseudogene	1	176
chr22	+	ENSG00000231565.1	NEK2P2	16364867	16366204	HAVANA	pseudogene	1	1337
chr22	+	ENSG00000230471.1	LA16c-2F2.8	16373081	16377055	HAVANA	lincRNA	1	3974
chr22	-	ENSG00000230643.1	LA16c-60G3.5	16389485	16389602	HAVANA	pseudogene	1	117
chr22	-	ENSG00000237299.1	LA16c-60G3.6	16399957	16436527	HAVANA	pseudogene	1	36570
chr22	+	ENSG00000213727.3	LA16c-60G3.7	16404698	16405874	HAVANA	pseudogene	1	1176
chr22	+	ENSG00000215268.3	LA16c-60G3.8	16413687	16415946	HAVANA	pseudogene	1	2259
chr22	+	ENSG00000233408.1	LA16c-23H5.4	16417269	16420386	HAVANA	antisense	1	3117
chr22	+	ENSG00000235759.1	ARHGAP42P3	16424125	16427059	HAVANA	pseudogene	1	2934
chr22	-	ENSG00000130538.4	OR11H1	16448824	16449805	HAVANA	protein_coding	1	981
chr22	-	ENSG00000236831.1	YME1L1P1	16485399	16487973	HAVANA	pseudogene	1	2574
chr22	-	ENSG00000265406.1	AP000539.3	16569924	16570006	ENSEMBL	miRNA	1	82
chr22	-	ENSG00000264612.1	AP000539.1	16575148	16575230	ENSEMBL	miRNA	1	82
chr22	-	ENSG00000265270.1	AP000539.2	16576109	16576191	ENSEMBL	miRNA	1	82
chr22	-	ENSG00000236097.1	BNIP3P2	16627920	16628496	HAVANA	pseudogene	1	576
chr22	+	ENSG00000184624.4	ZNF72P	16634898	16651926	HAVANA	pseudogene	1	17028
chr22	-	ENSG00000236235.1	LA16c-13E4.3	16680767	16687245	HAVANA	pseudogene	1	6478
chr22	+	ENSG00000225293.1	ABCD1P4	16868420	16871613	HAVANA	pseudogene	1	3193
chr22	+	ENSG00000226160.1	LA16c-17H1.3	16886056	16886143	HAVANA	pseudogene	1	87
chr22	+	ENSG00000229658.1	PABPC1P9	16904668	16906756	HAVANA	pseudogene	1	2088
chr22	-	ENSG00000227367.1	SLC9B1P4	16909690	16957613	HAVANA	pseudogene	1	47923
chr22	+	ENSG00000226444.1	ACTR3BP6	16967410	16969212	HAVANA	pseudogene	1	1802
chr22	+	ENSG00000235969.1	CHEK2P4	16984194	16990365	HAVANA	pseudogene	1	6171
chr22	+	ENSG00000273362.1	KB-67B5.17	17001949	17008127	HAVANA	lincRNA	1	6178
